[2024-10-11 16:52:20,817]: Key.shift
[2024-10-11 16:52:21,171]: I
[2024-10-11 16:52:21,358]: Key.space
[2024-10-11 16:52:21,636]: l
[2024-10-11 16:52:21,842]: o
[2024-10-11 16:52:21,932]: v
[2024-10-11 16:52:21,998]: e
[2024-10-11 16:52:22,086]: Key.space
[2024-10-11 16:52:22,345]: c
[2024-10-11 16:52:22,555]: y
[2024-10-11 16:52:22,762]: b
[2024-10-11 16:52:22,778]: e
[2024-10-11 16:52:22,881]: r
[2024-10-11 16:52:23,058]: s
[2024-10-11 16:52:23,307]: e
[2024-10-11 16:52:23,498]: c
[2024-10-11 16:52:23,753]: u
[2024-10-11 16:52:23,856]: i
[2024-10-11 16:52:24,257]: r
[2024-10-11 16:52:24,424]: t
[2024-10-11 16:52:24,620]: y
[2024-10-11 16:52:25,186]: Key.enter
[2024-10-11 16:52:26,761]: Key.esc
